iter	Passed	Remaining
347	46307	86759
348	46431	86610
349	46573	86493
350	46715	86376
351	46839	86227
352	46968	86087
353	47096	85945
354	47216	85786
355	47345	85647
356	47494	85543
357	47623	85403
358	47752	85263
359	47880	85120
360	48015	84990
361	48141	84846
362	48258	84684
363	48387	84545
364	48506	84387
365	48660	84292
366	48790	84153
367	48914	84005
368	49046	83871
369	49186	83749
370	49312	83604
371	49443	83468
372	49592	83363
373	49717	83216
374	49849	83081
375	49990	82963
376	50120	82824
377	50260	82703
378	50394	82572
379	50520	82428
380	50747	82447
381	50940	82412
382	51080	82289
383	51241	82199
384	51387	82085
385	51515	81944
386	51660	81829
387	51793	81694
388	51936	81575
389	52070	81443
390	52204	81310
391	52342	81184
392	52504	81094
393	52690	81042
394	52866	80972
395	53000	80839
396	53124	80690
397	53287	80600
398	53508	80598
