iter	TotalF1	MultiClass
526	0.6718185727	0.6832733222
527	0.6715199827	0.6830832781
528	0.6718050429	0.6828529881
529	0.6719385599	0.6825190815
530	0.6719995297	0.6823086796
531	0.6723918939	0.6821768854
532	0.6724809411	0.6818844696
533	0.6724398601	0.6817702153
534	0.6723291594	0.6814774638
535	0.6723671312	0.6813638564
536	0.672319337	0.6811843369
537	0.6726196513	0.6810848991
538	0.6724858806	0.6809746199
539	0.6727644483	0.6808320123
540	0.6727844535	0.6806745621
541	0.6727844535	0.6805499326
542	0.6733039049	0.6803073226
543	0.6731042705	0.6801622141
544	0.673148579	0.6799999821
545	0.6731426216	0.6798553512
546	0.6736294751	0.6797045206
547	0.6735500166	0.6795908575
548	0.6734648728	0.6794587889
549	0.6733737992	0.6792570218
550	0.6743594711	0.6790711604
551	0.6742442754	0.6789778097
552	0.6739748423	0.6788677985
553	0.6739582531	0.6786758989
554	0.6747555	0.6784187654
555	0.6748886385	0.6783219355
556	0.6746446685	0.6782027053
557	0.6750609478	0.6779053576
558	0.6757450835	0.6777615436
559	0.6761862718	0.6775945072
560	0.6762567381	0.6774275263
561	0.6764303662	0.6772382907
562	0.6764961898	0.677132857
563	0.6769043652	0.6770070074
564	0.677223595	0.6768912234
565	0.6769795835	0.6767783976
566	0.6766608413	0.6767022747
567	0.6766515323	0.6765721939
568	0.6762026798	0.6764129312
569	0.6763806817	0.6762109488
570	0.6763805116	0.6761332678
571	0.6763625631	0.6760250226
572	0.6766200503	0.6758400389
573	0.6768641513	0.6758185908
574	0.6767841247	0.6756740055
575	0.6767841247	0.6755874985
576	0.6767182956	0.675479015
577	0.677445235	0.6751838912
578	0.677868437	0.6750293388
579	0.6778280884	0.6748268833
580	0.6783999421	0.674617725
581	0.6782668167	0.6744393787
582	0.6781025168	0.6742001723
583	0.6775082631	0.6740196666
584	0.6778369353	0.6739290836
585	0.6778369353	0.673841316
586	0.6783869609	0.6737645537
587	0.6783869609	0.6736996904
588	0.6781958919	0.6735588329
589	0.6783860773	0.6734261691
590	0.6784060733	0.6731945579
591	0.6784206355	0.6730101699
592	0.6782481939	0.6728637937
593	0.6783593729	0.6727261503
594	0.6781151439	0.6725373614
595	0.6781149333	0.6724087579
596	0.6783809688	0.6721872727
597	0.6786951942	0.6720716494
598	0.6788895495	0.6718780129
599	0.6790226231	0.6717228856
600	0.6792053444	0.6716293508
601	0.6790096455	0.6714645216
602	0.6790096455	0.6713767254
603	0.6789174554	0.6711601835
604	0.6786734937	0.6710793711
605	0.6791646813	0.6708813277
606	0.6791367525	0.6707325848
607	0.6791213585	0.6705536412
608	0.6796813103	0.6703539465
609	0.6797022717	0.6701415069
610	0.6800575079	0.6699445523
611	0.6803044892	0.6697509887
612	0.6807338262	0.669611139
613	0.680271058	0.6693827388
614	0.6807281575	0.6692277979
615	0.6809677633	0.6690872042
616	0.6806868801	0.6689563911
617	0.6810620245	0.6687607015
618	0.68049097	0.6685923234
619	0.6809291171	0.6685278485
620	0.6814864484	0.6684260916
621	0.6817310784	0.668270118
622	0.6828954285	0.6680911441
623	0.6827759921	0.6680002885
624	0.6830201334	0.6679263966
625	0.6828495082	0.6677054817
626	0.6829677452	0.6675457371
627	0.6832935918	0.6674152152
628	0.6837730811	0.6672581855
629	0.6836919335	0.6671911105
630	0.6836707344	0.6670408564
631	0.6837905428	0.6669043946
632	0.6843154907	0.6668011592
633	0.6846915584	0.6665696971
634	0.6845970294	0.6664165479
635	0.684434144	0.6663384524
636	0.6843609427	0.666140917
637	0.6843609427	0.6660556404
638	0.6845157909	0.6658432776
639	0.6846777531	0.6656242336
640	0.6845153628	0.6655392105
641	0.6845965918	0.6654167695
642	0.6843529005	0.6652570871
643	0.6845250178	0.6651035928
644	0.6845549161	0.6649419073
645	0.6846062266	0.6648648345
646	0.6848804511	0.6646721698
647	0.684451168	0.6645282566
648	0.684605632	0.6644391886
649	0.6845622743	0.6643160319
650	0.6844506088	0.6641975516
651	0.6846939682	0.6639694228
652	0.6845537612	0.663800948
653	0.6845537612	0.6636665355
654	0.68451035	0.6635270849
655	0.6847459456	0.6634106722
656	0.6845238617	0.6632158315
657	0.6847002579	0.6630631841
658	0.684678278	0.6628243911
659	0.6852038172	0.6626368294
660	0.6854037268	0.6624628614
661	0.6854031583	0.662257184
662	0.6858384867	0.6620742401
663	0.6859282879	0.6618485247
664	0.686001051	0.6617287524
665	0.6857959424	0.6616139324
666	0.6860022967	0.6614815497
667	0.6858312746	0.6613369304
668	0.6858083856	0.6611531605
669	0.6856464568	0.6610161324
670	0.6857278606	0.6608511957
671	0.6871992136	0.6605847265
672	0.6867631675	0.6604703592
673	0.6864604179	0.6602569897
674	0.6865924854	0.6601550218
675	0.6865437979	0.6599302149
676	0.6870222602	0.6597939596
677	0.6869924476	0.6596834051
678	0.6871601124	0.6595839954
679	0.6869185354	0.6594180702
680	0.6876469919	0.6592036152
681	0.6875653107	0.6590762554
682	0.6873019853	0.6589183706
683	0.6871380099	0.6587785372
684	0.6871456827	0.6587263777
685	0.6874691306	0.6585474463
686	0.6876393589	0.6584301229
687	0.6876296716	0.6583499346
688	0.6878830523	0.6581765362
689	0.688076161	0.6580083067
690	0.6886845646	0.6577936848
691	0.6892545707	0.6576190233
692	0.688687615	0.6574013945
693	0.6892557194	0.6572445958
694	0.6896911779	0.6570176176
695	0.6899646895	0.656942157
696	0.6898951266	0.6568073409
697	0.6901996997	0.656656007
698	0.6901996997	0.6565505437
699	0.6900846374	0.6563640494
700	0.6901981812	0.6562051599
701	0.6901079375	0.6560002978
702	0.689835444	0.6558567255
703	0.6901615339	0.655717032
704	0.6900387023	0.6555038845
705	0.6900387023	0.6553369009
706	0.6906028906	0.6552524424
707	0.6910369772	0.6549170687
708	0.6907645777	0.6547410779
709	0.6908548982	0.6544596594
710	0.6914188096	0.6543164609
711	0.691095727	0.6542072835
712	0.691095727	0.6541353663
713	0.6912267139	0.6539179483
714	0.6916911509	0.6538382028
715	0.6917815082	0.6536535631
716	0.6914403763	0.6534921706
717	0.6918820856	0.6533879524
718	0.6918332245	0.6532094882
719	0.6919451637	0.6531276041
720	0.6920759448	0.6530240509
721	0.6919934418	0.6527806777
722	0.6920749069	0.6526752724
723	0.6924990919	0.6525645813
724	0.6923665291	0.6523899058
725	0.6919217338	0.6522713756
726	0.6924852476	0.6521523311
727	0.6927106717	0.6520202529
728	0.6925572504	0.6517900548
729	0.692638716	0.6516463565
730	0.692395942	0.6514298352
731	0.6926748172	0.6513105937
732	0.6933266728	0.6510389685
733	0.6930611712	0.6508380794
734	0.6933677277	0.6505967587
735	0.6933677277	0.6504852364
736	0.693841635	0.6504016434
737	0.693763143	0.6502748879
738	0.6934375551	0.6501067744
739	0.6934375551	0.6500269548
740	0.6938427444	0.6499773281
741	0.693673844	0.6498536089
742	0.6940833704	0.6497066197
743	0.6951263931	0.6494926832
744	0.6945403423	0.6493066647
745	0.6947646501	0.6492420008
746	0.6955695942	0.6490334504
747	0.695458249	0.6489164426
748	0.6957374334	0.6487872546
749	0.6956242699	0.6486738991
750	0.6958367984	0.64854885
751	0.6960449107	0.6484499848
752	0.6956147781	0.6482718025
753	0.6958238463	0.6480763823
754	0.6961837642	0.6478750953
755	0.6959180513	0.6477143202
756	0.6962199171	0.6474515899
757	0.6964732475	0.6472798364
758	0.6964088887	0.6470424911
759	0.6964732475	0.6468195285
760	0.697192932	0.6466610503
761	0.6974462173	0.6465695676
762	0.6972936387	0.646419755
763	0.6973691448	0.6463540688
764	0.6972874423	0.6462907302
765	0.6974450151	0.646152769
766	0.6976508589	0.6459949584
767	0.6974539474	0.6458657281
768	0.697759858	0.6456176618
769	0.6974424231	0.6454779595
770	0.6977550057	0.6453032697
771	0.6980755207	0.6450589101
772	0.6981047296	0.6448626515
773	0.6977777674	0.6446825022
774	0.6982382222	0.6445523863
775	0.6975366838	0.6443919353
776	0.6980393306	0.6442270968
777	0.6981512573	0.6441094795
778	0.6986028324	0.6439784873
779	0.6993218979	0.6438473906
780	0.6995165206	0.6437564136
781	0.699870971	0.643595396
782	0.7000295949	0.6435470931
783	0.7001896069	0.6434209234
784	0.7000788116	0.6432259179
785	0.7000788116	0.6431447811
786	0.6995743797	0.6429437403
787	0.6994068794	0.6428535773
788	0.6993466598	0.6426760566
789	0.699854233	0.6425880337
790	0.7003325167	0.6423298907
791	0.700467727	0.6421396868
792	0.7009312411	0.6419262231
793	0.70156185	0.6417628957
794	0.7015234696	0.6415701923
795	0.7015234696	0.6414389467
796	0.7016374477	0.6414064574
797	0.7016178826	0.6411882872
798	0.7015848249	0.6410999145
799	0.7018623591	0.64096381
800	0.7017968879	0.640793255
801	0.7020317183	0.6406464338
802	0.7021654776	0.6404616041
803	0.7022243972	0.6402551094
804	0.7023825113	0.6401550108
805	0.7020333878	0.6400484092
806	0.7021574136	0.6398446298
807	0.7018396567	0.6397178874
808	0.7020872423	0.6395990635
809	0.7020942872	0.639420341
810	0.7023719493	0.6392707026
811	0.7026210094	0.6390694991
812	0.7026210094	0.6389434802
813	0.7024213336	0.6387556986
814	0.7027789193	0.6385153561
815	0.7028074521	0.6383705459
816	0.7025029512	0.6382604813
817	0.7028406534	0.6380633232
818	0.7031227401	0.6379204582
819	0.7037947522	0.6377195513
820	0.703873438	0.6375266994
821	0.7036153651	0.6374131775
822	0.7037729583	0.6373182826
823	0.7037676648	0.6372606248
824	0.7038052418	0.6371084435
825	0.7039576808	0.6369807043
826	0.7037983212	0.6368995994
827	0.7038336748	0.6367718199
828	0.7046351313	0.6366612891
829	0.704610984	0.636547338
830	0.7045317795	0.6364917828
831	0.7047355929	0.6364050244
832	0.7045762291	0.6363771442
833	0.7048354431	0.6361486174
834	0.7049797013	0.6359589541
835	0.7051090682	0.6358139673
836	0.7051691207	0.6356316868
837	0.7055754049	0.6354607559
838	0.7053982395	0.6352857088
839	0.7051171047	0.6351815197
840	0.7053025496	0.6349993749
841	0.7053368612	0.6348504776
842	0.7049563181	0.6346150152
843	0.7053450891	0.6343770947
844	0.705308618	0.6342083621
845	0.7052294484	0.6339757887
846	0.7055417533	0.6338279192
847	0.7054407908	0.633682834
848	0.7055690339	0.6336156219
849	0.705727871	0.633559783
850	0.705678249	0.6334416857
851	0.7063694486	0.633307563
852	0.7060084383	0.6332540763
853	0.7059484279	0.633071864
854	0.7061156363	0.6329944219
855	0.7059256652	0.632820082
856	0.7065206665	0.632688285
857	0.7067477421	0.6324666243
858	0.7064310541	0.6322610755
859	0.7069870162	0.6320989673
860	0.7065870133	0.6319892401
861	0.7063404902	0.6318735252
862	0.7075254403	0.6317412098
863	0.7073637616	0.631563791
864	0.7079610479	0.6313713652
865	0.7079610479	0.6313039432
866	0.7074417032	0.6312007592
867	0.7078695751	0.6310789908
868	0.7077975771	0.6310255623
869	0.7087082202	0.6308211186
870	0.7084766069	0.6306556931
871	0.7084785025	0.6305327047
872	0.7086968667	0.6303474229
873	0.7090112505	0.6302543844
874	0.7094216123	0.6301137339
875	0.7092655779	0.6300154065
876	0.7098819104	0.6298578484
877	0.7094134921	0.6296701774
878	0.7094938637	0.6294452608
879	0.7095788801	0.629355573
880	0.7100889211	0.6291758678
881	0.7102017046	0.6291137676
882	0.7101140893	0.6289805624
