iter	Passed	Remaining
526	67546	60625
527	67668	60491
528	67805	60371
529	67943	60251
530	68058	60111
531	68191	59988
532	68312	59853
533	68442	59727
534	68567	59596
535	68690	59463
536	68820	59336
537	68946	59207
538	69067	59072
539	69194	58943
540	69319	58812
541	69433	58672
542	69549	58534
543	69683	58411
544	69806	58279
545	69931	58148
546	70069	58028
547	70189	57893
548	70309	57758
549	70441	57633
550	70559	57498
551	70688	57370
552	70839	57260
553	70957	57124
554	71068	56982
555	71187	56847
556	71313	56717
557	71431	56582
558	71550	56446
559	71680	56320
560	71804	56189
561	71938	56065
562	72077	55946
563	72192	55808
564	72317	55677
565	72441	55546
566	72562	55413
567	72693	55288
568	72820	55158
569	72969	55047
570	73107	54926
571	73225	54791
572	73355	54664
573	73482	54535
574	73615	54411
575	73767	54300
576	73899	54176
577	74021	54043
578	74151	53916
579	74274	53785
580	74395	53651
581	74520	53521
582	74660	53402
583	74868	53331
584	74992	53200
585	75129	53077
586	75249	52943
587	75386	52821
588	75517	52695
589	75653	52572
590	75799	52456
591	75928	52329
592	76055	52199
593	76186	52073
594	76314	51945
595	76437	51813
596	76557	51679
597	76711	51568
598	76844	51443
599	76965	51310
600	77093	51181
601	77211	51047
602	77340	50918
603	77478	50796
604	77599	50663
605	77727	50535
606	77856	50407
607	77982	50278
608	78117	50154
609	78238	50021
610	78371	49896
611	78495	49765
612	78617	49633
613	78756	49511
614	78885	49383
615	79012	49254
616	79134	49122
617	79259	48992
618	79378	48858
619	79501	48726
620	79637	48603
621	79786	48487
622	79925	48366
623	80052	48236
624	80147	48088
625	80281	47963
626	80404	47832
627	80528	47701
628	80662	47576
629	80805	47457
630	80920	47321
631	81057	47198
632	81187	47070
633	81311	46940
634	81439	46811
635	81576	46688
636	81710	46563
637	81839	46435
638	81957	46301
639	82081	46171
640	82201	46038
641	82326	45907
642	82463	45784
643	82589	45654
644	82717	45526
645	82857	45404
646	82983	45275
647	83112	45147
648	83234	45015
649	83379	44896
650	83507	44768
651	83638	44641
